Day,Clicks,Impressions,CTR,Avg. CPC,Cost,Avg. position,Conversions,Cost / conv.,Conv. rate,All conv.,View-through conv.,Conv-Cost
5/31/2017,3319,649562,0.51%,1.97,"6,538.09",1,139,47.04,4.15%,142,25,0.021260032
6/19/2017,3371,400606,0.84%,2.57,"8,659.15",1.1,148,58.51,0.35%,148,8,0.017091747
1/23/2017,3065,358481,0.85%,2.56,"7,832.41",1.1,155,50.53,5.06%,155,162,0.019789567
3/18/2017,2046,225937,0.91%,2.73,"5,581.68",1.1,84,66.45,2.81%,84,28,0.015049232
1/22/2017,2042,312615,0.65%,2.85,"5,825.34",1.1,96,60.68,4.70%,96,55,0.016479725
3/1/2017,2794,315613,0.89%,2.35,"6,566.80",1.1,157,41.83,5.62%,157,59,0.023908144
3/9/2017,2854,368806,0.77%,2.27,"6,485.39",1.1,151,42.95,4.76%,151,81,0.023283102
6/2/2017,3183,469846,0.68%,2.05,"6,511.87",1.1,129,50.48,4.00%,129,17,0.019809978
1/21/2017,1959,299280,0.65%,2.92,"5,727.93",1.1,97,59.05,4.95%,97,40,0.016934564
6/11/2017,2448,367558,0.67%,2.14,"5,240.23",1.1,76,68.95,3.10%,79,6,0.01450318
2/28/2017,2597,356611,0.73%,2.27,"5,906.21",1.1,151,39.11,5.81%,151,93,0.025566311
5/23/2017,4109,1167593,0.35%,1.96,"8,058.03",1,180,44.77,4.34%,182,52,0.022337966
5/28/2017,3095,809956,0.38%,1.86,"5,754.95",1,86,66.92,2.75%,86,12,0.014943657
1/11/2017,2726,293597,0.93%,2.54,"6,936.97",1.1,120,57.81,4.40%,120,105,0.017298619
5/12/2017,2787,693427,0.40%,1.97,"5,503.40",1,138,39.88,4.92%,143,14,0.025075408
3/11/2017,2071,264634,0.78%,2.6,"5,375.78",1.1,100,53.76,3.41%,100,28,0.018601952
2/17/2017,2551,390760,0.65%,2.39,"6,087.74",1.1,131,46.47,5.14%,131,71,0.021518659
3/7/2017,2898,368359,0.79%,2.37,"6,864.38",1.1,159,43.17,5.49%,159,64,0.023163053
2/20/2017,2843,506705,0.56%,2.5,"7,117.16",1.1,159,44.76,5.59%,159,122,0.022340372
3/13/2017,2788,372264,0.75%,2.4,"6,682.63",1.1,170,39.31,4.23%,170,74,0.025439086
5/21/2017,3867,2098347,0.18%,1.68,"6,515.31",1,94,69.31,2.41%,96,28,0.014427556
4/3/2017,2475,416528,0.59%,2.07,"5,117.98",1.1,139,36.82,3.69%,142,28,0.027159153
2/4/2017,2156,356479,0.60%,2.73,"5,893.94",1.1,114,51.7,5.29%,114,53,0.0193419
6/17/2017,2378,265191,0.90%,2.14,"5,079.67",1.1,98,51.83,4.12%,98,5,0.019292592
1/10/2017,2790,306860,0.91%,2.56,"7,133.53",1.1,149,47.88,5.34%,149,150,0.020887275
1/18/2017,2734,322559,0.85%,2.59,"7,078.36",1.1,168,42.13,6.14%,168,143,0.023734311
6/7/2017,3310,461663,0.72%,2,"6,633.94",1.1,156,42.53,4.71%,156,31,0.023515437
4/22/2017,1641,211536,0.78%,2.59,"4,253.78",1.1,80,53.17,4.81%,87,20,0.018806802
5/11/2017,2797,792305,0.35%,2.05,"5,726.15",1,136,42.1,4.83%,149,26,0.023750688
6/5/2017,3074,454412,0.68%,2.14,"6,591.17",1.1,99,66.58,3.19%,99,23,0.015020095
5/18/2017,5071,2405257,0.21%,2.9,"14,705.45",1,201,73.16,0.12%,215,62,0.013668402
2/9/2017,2977,420121,0.71%,2.59,"7,724.04",1.1,175,44.14,5.88%,175,89,0.022656537
4/7/2017,2213,297268,0.74%,2.19,"4,840.49",1.1,93,52.05,3.93%,93,30,0.019212931
2/18/2017,2031,362627,0.56%,2.66,"5,394.62",1.1,98,55.05,4.83%,98,43,0.018166247
4/4/2017,2826,528571,0.53%,2.26,"6,377.59",1.1,134,47.59,3.66%,134,33,0.021011072
